zip code,location,latitude,longitude
10454,POINT (-73.91243 40.8047),40.8047, -73.91243
11239-2801,POINT (-73.86536 40.651863),40.651863, -73.86536
10452,POINT (-73.916855 40.84506),40.84506, -73.916855
11101,POINT (-73.93496 40.737785),40.737785, -73.93496
10029-6408,POINT (-73.93755 40.788795),40.788795, -73.93755
11201,POINT (-73.999344 40.69168),40.69168, -73.999344
10460,POINT (-73.87329 40.83801),40.83801, -73.87329
10162,POINT (-73.950005 40.767612),40.767612, -73.950005
10472,POINT (-73.88277 40.82325),40.82325, -73.88277
11239,POINT (-73.88636 40.63082),40.63082, -73.88636
11201-1832,POINT (-73.989624 40.70145),40.70145, -73.989624
11252,POINT (-74.030945 40.60567),40.60567, -74.030945
10044,POINT (-73.954346 40.762676),40.762676, -73.954346
11239-2801,POINT (-73.87652 40.64254),40.64254, -73.87652
11201,POINT (-73.99912 40.691536),40.691536, -73.99912
10454-4606,POINT (-73.9316 40.811638),40.811638, -73.9316
10472,POINT (-73.85971 40.826275),40.826275, -73.85971
11374-2756,POINT (-73.85089 40.737553),40.737553, -73.85089
10033,POINT (-73.926384 40.844917),40.844917, -73.926384
11362,POINT (-73.744286 40.753788),40.753788, -73.744286
11375,POINT (-73.837776 40.72545),40.72545, -73.837776
11207,POINT (-73.904106 40.681503),40.681503, -73.904106
10030,POINT (-73.93603 40.81207),40.81207, -73.93603
11422:11434,POINT (-73.761 40.666233),40.666233, -73.761
10457,POINT (-73.89752 40.843994),40.843994, -73.89752
11413,POINT (-73.7464 40.665794),40.665794, -73.7464
11205,POINT (-73.96188 40.69993),40.69993, -73.96188
10010,POINT (-73.97502 40.73635),40.73635, -73.97502
10065,POINT (-73.95323 40.763897),40.763897, -73.95323
11378,POINT (-73.90674 40.72773),40.72773, -73.90674
10162,POINT (-73.94898 40.768875),40.768875, -73.94898
11434,POINT (-73.76162 40.679737),40.679737, -73.76162
11429,POINT (-73.72826 40.711227),40.711227, -73.72826
10029-6408,POINT (-73.94058 40.78503),40.78503, -73.94058
